@1462 :- Deafened(x), LightweightFoldable_Wheelchair(x)
@89 :- SensoryAbility(x), LowerLimbMobility(x)
@1613 :- Little_or_No_Speech(x), SpeechAbility(x)
@1612 :- Dystonia(x), SpeechAbility(x)
@1611 :- Hemiplegia(x), SpeechAbility(x)
@1610 :- Multiple_sclerosis(x), SpeechAbility(x)
@90 :- SensoryAbility(x), UpperLimbMobility(x)
@91 :- TactileAbility(x), LimbMobility(x)
@92 :- Hear(x), Reach(x)
@93 :- Hear(x), LimbMobility(x)
@1619 :- MentalDisability(x), HearingAbility(x)
@94 :- Hear_partially(x), Reach(x)
@1618 :- Epilepsy(x), PhysicalAbility(x)
@95 :- Hear_partially(x), LimbMobility(x)
@1617 :- Epilepsy(x), SensoryAbility(x)
@96 :- HearingAbility(x), LowerLimbMobility(x)
@1616 :- IntellectualDisability(x), PhysicalAbility(x)
@97 :- HearingAbility(x), UpperLimbMobility(x)
@1615 :- IntellectualDisability(x), SensoryAbility(x)
@98 :- See(x), Reach(x)
@1614 :- Stuttering(x), SpeechAbility(x)
@99 :- See(x), LimbMobility(x)
@1624 :- Autism(x), PhysicalAbility(x)
@1623 :- MentalDisability(x), MovementAbility(x)
@1622 :- Autism(x), SensoryAbility(x)
@1621 :- MentalDisability(x), TactileAbility(x)
@1620 :- MentalDisability(x), SightAbility(x)
@1629 :- Osteogensis_Imperfecta(x), SensoryAbility(x)
@1628 :- Spina_Bifida(x), PhysicalAbility(x)
@1627 :- Spina_Bifida(x), SensoryAbility(x)
@1626 :- Scoliosis(x), PhysicalAbility(x)
@1625 :- Scoliosis(x), SensoryAbility(x)
@1635 :- Amputation(x), SensoryAbility(x)
@1634 :- Poliomyelitis(x), PhysicalAbility(x)
@1633 :- Poliomyelitis(x), SensoryAbility(x)
@1632 :- Achondroplasia(x), PhysicalAbility(x)
@1631 :- Achondroplasia(x), SensoryAbility(x)
@1630 :- Osteogensis_Imperfecta(x), PhysicalAbility(x)
@1639 :- Guillaume_Barre(x), SensoryAbility(x)
@1638 :- Paraplegia(x), PhysicalAbility(x)
@1637 :- Paraplegia(x), SensoryAbility(x)
@1636 :- Amputation(x), PhysicalAbility(x)
@1646 :- PhysicalDisability(x), SightAbility(x)
@1645 :- PhysicalDisability(x), HearingAbility(x)
@1644 :- Muscular_dystrophy(x), PhysicalAbility(x)
@1643 :- Muscular_dystrophy(x), SensoryAbility(x)
@1642 :- Kyphosis(x), PhysicalAbility(x)
@1641 :- Kyphosis(x), SensoryAbility(x)
@1640 :- Guillaume_Barre(x), PhysicalAbility(x)
@1649 :- Multiple_sclerosis(x), SensoryAbility(x)
@1648 :- Cerebral_palsy(x), SensoryAbility(x)
@1647 :- Quadriplegia(x), SensoryAbility(x)
@1660 :- Disability(x), Hear_partially(x)
@1657 :- Hemiplegia(x), PhysicalAbility(x)
@1656 :- Multiple_sclerosis(x), PhysicalAbility(x)
@1655 :- PhysicalDisability(x), MovementAbility(x)
@1654 :- Cerebral_palsy(x), PhysicalAbility(x)
@1653 :- Quadriplegia(x), PhysicalAbility(x)
@1652 :- Dystonia(x), SensoryAbility(x)
@1651 :- PhysicalDisability(x), TactileAbility(x)
@1650 :- Hemiplegia(x), SensoryAbility(x)
@1659 :- Disability(x), Hear(x)
@1658 :- Dystonia(x), PhysicalAbility(x)
@1671 :- Little_or_No_Speech(x), PhysicalAbility(x)
@1670 :- SpeechDisability(x), MovementAbility(x)
@1668 :- Disability(x), Reach(x)
@1667 :- SpeechDisability(x), TactileAbility(x)
@1666 :- Stuttering(x), SensoryAbility(x)
@1665 :- Little_or_No_Speech(x), SensoryAbility(x)
@1664 :- SpeechDisability(x), SightAbility(x)
@1663 :- Disability(x), See_partially(x)
@1662 :- Disability(x), See(x)
@1661 :- SpeechDisability(x), HearingAbility(x)
@1669 :- Disability(x), LimbMobility(x)
@1682 :- HearingDisability(x), Hear_partially(x)
@1681 :- HearingDisability(x), Hear(x)
@1680 :- Deafened(x), MovementAbility(x)
@1679 :- Deafened(x), TactileAbility(x)
@1678 :- Deafened(x), SightAbility(x)
@1677 :- Deafened(x), HearingAbility(x)
@1676 :- Hard_of_hearing(x), MovementAbility(x)
@1675 :- Hard_of_hearing(x), TactileAbility(x)
@1674 :- Hard_of_hearing(x), SightAbility(x)
@1673 :- Hard_of_hearing(x), HearingAbility(x)
@1672 :- Stuttering(x), PhysicalAbility(x)
@1693 :- Blind(x), TactileAbility(x)
@1692 :- Blind(x), SightAbility(x)
@1691 :- Blind(x), HearingAbility(x)
@1690 :- HearingDisability(x), LimbMobility(x)
@1206 :- Muscular_dystrophy(x), FaceToFaceCommunicationSoftware(x)
@1205 :- Muscular_dystrophy(x), BrailleWritingDevice(x)
@1689 :- HearingDisability(x), Reach(x)
@1204 :- Muscular_dystrophy(x), TactileReading(x)
@1688 :- Deaf(x), MovementAbility(x)
@1203 :- Muscular_dystrophy(x), TalkingReading(x)
@1687 :- Deaf(x), TactileAbility(x)
@1202 :- Muscular_dystrophy(x), TelephoneAid(x)
@1686 :- Deaf(x), SightAbility(x)
@1201 :- Kyphosis(x), Manual_Wheelchair(x)
@1685 :- HearingDisability(x), See_partially(x)
@1200 :- Kyphosis(x), Motorised_Wheelchair(x)
@1684 :- HearingDisability(x), See(x)
@1683 :- Deaf(x), HearingAbility(x)
@1209 :- Muscular_dystrophy(x), Manual_Wheelchair(x)
@1208 :- Muscular_dystrophy(x), Motorised_Wheelchair(x)
@1207 :- Muscular_dystrophy(x), SymbolBoard(x)
@1220 :- Dystonia(x), TalkingReading(x)
@1217 :- Cerebral_palsy(x), TalkingReading(x)
@1216 :- Quadriplegia(x), TalkingReading(x)
@1215 :- PhysicalDisability(x), Talking_Thermometer(x)
@1699 :- VisualDisability(x), Hear(x)
@1214 :- Dystonia(x), TelephoneAid(x)
@1698 :- LowVision(x), MovementAbility(x)
@1213 :- Hemiplegia(x), TelephoneAid(x)
@1697 :- LowVision(x), TactileAbility(x)
@1212 :- Multiple_sclerosis(x), TelephoneAid(x)
@1696 :- LowVision(x), SightAbility(x)
@1211 :- Cerebral_palsy(x), TelephoneAid(x)
@1695 :- LowVision(x), HearingAbility(x)
@1210 :- Quadriplegia(x), TelephoneAid(x)
@1694 :- Blind(x), MovementAbility(x)
@1219 :- Hemiplegia(x), TalkingReading(x)
@1218 :- Multiple_sclerosis(x), TalkingReading(x)
@1231 :- Multiple_sclerosis(x), BrailleWritingDevice(x)
@1230 :- Cerebral_palsy(x), BrailleWritingDevice(x)
@1228 :- Dystonia(x), TactileReading(x)
@1227 :- Hemiplegia(x), TactileReading(x)
@1226 :- PhysicalDisability(x), BrailleWatch(x)
@1225 :- Multiple_sclerosis(x), TactileReading(x)
@1224 :- Cerebral_palsy(x), TactileReading(x)
@1223 :- Quadriplegia(x), TactileReading(x)
@1222 :- PhysicalDisability(x), BraillePillOrganiser(x)
@1221 :- PhysicalDisability(x), BrailleAlarmClock(x)
@800 :- Achondroplasia(x), Communication_Device(x)
@801 :- Achondroplasia(x), MobilityDevice(x)
@802 :- Poliomyelitis(x), Communication_Device(x)
@803 :- Poliomyelitis(x), MobilityDevice(x)
@804 :- Amputation(x), Communication_Device(x)
@805 :- Amputation(x), MobilityDevice(x)
@806 :- Paraplegia(x), Communication_Device(x)
@807 :- Paraplegia(x), MobilityDevice(x)
@1229 :- Quadriplegia(x), BrailleWritingDevice(x)
@808 :- Guillaume_Barre(x), Communication_Device(x)
@809 :- Guillaume_Barre(x), MobilityDevice(x)
@1242 :- Hemiplegia(x), SymbolBoard(x)
@1241 :- Dystonia(x), FaceToFaceCommunicationSoftware(x)
@1240 :- Hemiplegia(x), FaceToFaceCommunicationSoftware(x)
@1239 :- Multiple_sclerosis(x), SymbolBoard(x)
@1238 :- Multiple_sclerosis(x), FaceToFaceCommunicationSoftware(x)
@1237 :- Cerebral_palsy(x), SymbolBoard(x)
@1236 :- Cerebral_palsy(x), FaceToFaceCommunicationSoftware(x)
@1235 :- Quadriplegia(x), SymbolBoard(x)
@1234 :- Quadriplegia(x), FaceToFaceCommunicationSoftware(x)
@1233 :- Dystonia(x), BrailleWritingDevice(x)
@810 :- Kyphosis(x), Communication_Device(x)
@1232 :- Hemiplegia(x), BrailleWritingDevice(x)
@811 :- Kyphosis(x), MobilityDevice(x)
@812 :- Muscular_dystrophy(x), Communication_Device(x)
@813 :- Muscular_dystrophy(x), MobilityDevice(x)
@814 :- PhysicalDisability(x), ListenDevice(x)
@815 :- PhysicalDisability(x), SpeechDevice(x)
@816 :- PhysicalDisability(x), ReadingDevice(x)
@817 :- PhysicalDisability(x), WritingDevice(x)
@818 :- Quadriplegia(x), Communication_Device(x)
@819 :- Cerebral_palsy(x), Communication_Device(x)
@1253 :- PhysicalDisability(x), Lightweight_Wheelchair(x)
@2100 :- Motorised_Wheelchair(x), BrailleAlarmClock(x)
@1252 :- Dystonia(x), Motorised_Wheelchair(x)
@1251 :- Hemiplegia(x), Motorised_Wheelchair(x)
@1250 :- PhysicalDisability(x), BatteryPowered_Wheelchair(x)
@1249 :- Multiple_sclerosis(x), Manual_Wheelchair(x)
@1248 :- Multiple_sclerosis(x), Motorised_Wheelchair(x)
@1247 :- Cerebral_palsy(x), Manual_Wheelchair(x)
@1246 :- Cerebral_palsy(x), Motorised_Wheelchair(x)
@1245 :- Quadriplegia(x), Manual_Wheelchair(x)
@820 :- Multiple_sclerosis(x), Communication_Device(x)
@1244 :- Quadriplegia(x), Motorised_Wheelchair(x)
@821 :- PhysicalDisability(x), FaceToFaceCommunicationDevice(x)
@1243 :- Dystonia(x), SymbolBoard(x)
@822 :- Hemiplegia(x), Communication_Device(x)
@823 :- Dystonia(x), Communication_Device(x)
@824 :- Quadriplegia(x), MobilityDevice(x)
@825 :- Cerebral_palsy(x), MobilityDevice(x)
@826 :- Multiple_sclerosis(x), MobilityDevice(x)
@827 :- PhysicalDisability(x), Wheelchair(x)
@828 :- Hemiplegia(x), MobilityDevice(x)
@829 :- Dystonia(x), MobilityDevice(x)
@1264 :- SpeechDisability(x), BrailleWatch(x)
@2111 :- Lightweight_Wheelchair(x), BrailleWritingDevice(x)
@1263 :- SpeechDisability(x), BraillePillOrganiser(x)
@2110 :- BatteryPowered_Wheelchair(x), BrailleWritingDevice(x)
@1262 :- SpeechDisability(x), BrailleAlarmClock(x)
@1261 :- Stuttering(x), TalkingReading(x)
@1260 :- Little_or_No_Speech(x), TalkingReading(x)
@2108 :- Manual_Wheelchair(x), BrailleWatch(x)
@2107 :- Foldable_Wheelchair(x), TactileReading(x)
@1259 :- SpeechDisability(x), Talking_Thermometer(x)
@2106 :- Lightweight_Wheelchair(x), TactileReading(x)
@1258 :- Stuttering(x), TelephoneAid(x)
@2105 :- Motorised_Wheelchair(x), BrailleWatch(x)
@1257 :- Little_or_No_Speech(x), TelephoneAid(x)
@2104 :- BatteryPowered_Wheelchair(x), TactileReading(x)
@830 :- Disability(x), TelephoneAid(x)
@1256 :- Dystonia(x), Manual_Wheelchair(x)
@2103 :- Manual_Wheelchair(x), BraillePillOrganiser(x)
@831 :- SpeechDisability(x), ListenDevice(x)
@1255 :- Hemiplegia(x), Manual_Wheelchair(x)
@2102 :- Motorised_Wheelchair(x), BraillePillOrganiser(x)
@832 :- SpeechDisability(x), SpeechDevice(x)
@1254 :- PhysicalDisability(x), Foldable_Wheelchair(x)
@2101 :- Manual_Wheelchair(x), BrailleAlarmClock(x)
@833 :- Disability(x), TalkingReading(x)
@834 :- Disability(x), TactileReading(x)
@835 :- SpeechDisability(x), ReadingDevice(x)
@836 :- Disability(x), BrailleWritingDevice(x)
@837 :- SpeechDisability(x), WritingDevice(x)
@838 :- Disability(x), FaceToFaceCommunicationSoftware(x)
@839 :- Disability(x), SymbolBoard(x)
@2109 :- LightweightFoldable_Wheelchair(x), ReadingDevice(x)
@1275 :- Stuttering(x), Motorised_Wheelchair(x)
@2122 :- BatteryPowered_Wheelchair(x), Talking_Thermometer(x)
@1274 :- Little_or_No_Speech(x), Motorised_Wheelchair(x)
@2121 :- LightweightFoldable_Wheelchair(x), TelephoneAid(x)
@1273 :- SpeechDisability(x), BatteryPowered_Wheelchair(x)
@2120 :- Foldable_Wheelchair(x), SymbolBoard(x)
@1272 :- Stuttering(x), SymbolBoard(x)
@1271 :- Little_or_No_Speech(x), SymbolBoard(x)
@1270 :- Stuttering(x), FaceToFaceCommunicationSoftware(x)
@2119 :- Foldable_Wheelchair(x), FaceToFaceCommunicationSoftware(x)
@2118 :- Lightweight_Wheelchair(x), SymbolBoard(x)
@2117 :- Lightweight_Wheelchair(x), FaceToFaceCommunicationSoftware(x)
@1269 :- Little_or_No_Speech(x), FaceToFaceCommunicationSoftware(x)
@2116 :- LightweightFoldable_Wheelchair(x), FaceToFaceCommunicationDevice(x)
@840 :- SpeechDisability(x), FaceToFaceCommunicationDevice(x)
@1268 :- Stuttering(x), BrailleWritingDevice(x)
@2115 :- BatteryPowered_Wheelchair(x), SymbolBoard(x)
@841 :- Little_or_No_Speech(x), Communication_Device(x)
@1267 :- Little_or_No_Speech(x), BrailleWritingDevice(x)
@2114 :- BatteryPowered_Wheelchair(x), FaceToFaceCommunicationSoftware(x)
@842 :- Stuttering(x), Communication_Device(x)
@1266 :- Stuttering(x), TactileReading(x)
@2113 :- LightweightFoldable_Wheelchair(x), WritingDevice(x)
@843 :- Disability(x), Motorised_Wheelchair(x)
@1265 :- Little_or_No_Speech(x), TactileReading(x)
@2112 :- Foldable_Wheelchair(x), BrailleWritingDevice(x)
@844 :- Disability(x), Manual_Wheelchair(x)
@845 :- SpeechDisability(x), Wheelchair(x)
@846 :- Little_or_No_Speech(x), MobilityDevice(x)
@847 :- Stuttering(x), MobilityDevice(x)
@848 :- Hard_of_hearing(x), ListenDevice(x)
@849 :- Hard_of_hearing(x), SpeechDevice(x)
@1286 :- Hard_of_hearing(x), Lightweight_Wheelchair(x)
@2133 :- LightweightFoldable_Wheelchair(x), TactileReading(x)
@1285 :- Hard_of_hearing(x), BatteryPowered_Wheelchair(x)
@2132 :- BatteryPowered_Wheelchair(x), BrailleWatch(x)
@1284 :- Hard_of_hearing(x), BrailleWatch(x)
@2131 :- Foldable_Wheelchair(x), BraillePillOrganiser(x)
@1283 :- Hard_of_hearing(x), BraillePillOrganiser(x)
@2130 :- Lightweight_Wheelchair(x), BraillePillOrganiser(x)
@1282 :- Hard_of_hearing(x), BrailleAlarmClock(x)
@1281 :- Hard_of_hearing(x), Talking_Thermometer(x)
@1280 :- Stuttering(x), Manual_Wheelchair(x)
@2129 :- BatteryPowered_Wheelchair(x), BraillePillOrganiser(x)
@2128 :- Foldable_Wheelchair(x), BrailleAlarmClock(x)
@850 :- Hard_of_hearing(x), ReadingDevice(x)
@2127 :- Lightweight_Wheelchair(x), BrailleAlarmClock(x)
@851 :- Hard_of_hearing(x), WritingDevice(x)
@1279 :- Little_or_No_Speech(x), Manual_Wheelchair(x)
@2126 :- BatteryPowered_Wheelchair(x), BrailleAlarmClock(x)
@852 :- Hard_of_hearing(x), FaceToFaceCommunicationDevice(x)
@1278 :- SpeechDisability(x), Foldable_Wheelchair(x)
@2125 :- LightweightFoldable_Wheelchair(x), TalkingReading(x)
@853 :- Hard_of_hearing(x), Wheelchair(x)
@1277 :- SpeechDisability(x), Lightweight_Wheelchair(x)
@2124 :- Foldable_Wheelchair(x), Talking_Thermometer(x)
@854 :- Deafened(x), ListenDevice(x)
@1276 :- Disability(x), LightweightFoldable_Wheelchair(x)
@2123 :- Lightweight_Wheelchair(x), Talking_Thermometer(x)
@855 :- Deafened(x), SpeechDevice(x)
@856 :- Deafened(x), ReadingDevice(x)
@857 :- Deafened(x), WritingDevice(x)
@858 :- Deafened(x), FaceToFaceCommunicationDevice(x)
@859 :- Deafened(x), Wheelchair(x)
@1297 :- Deaf(x), BraillePillOrganiser(x)
@2144 :- Scoliosis(x), HearingDisability(x)
@1296 :- Deaf(x), BrailleAlarmClock(x)
@2143 :- PhysicalDisability(x), HearingDisability(x)
@1295 :- Deaf(x), Talking_Thermometer(x)
@2142 :- LightweightFoldable_Wheelchair(x), BrailleWatch(x)
@1294 :- Deafened(x), Foldable_Wheelchair(x)
@2141 :- LightweightFoldable_Wheelchair(x), BraillePillOrganiser(x)
@1293 :- Deafened(x), Lightweight_Wheelchair(x)
@2140 :- LightweightFoldable_Wheelchair(x), BrailleAlarmClock(x)
@1292 :- Deafened(x), BatteryPowered_Wheelchair(x)
@1291 :- Deafened(x), BrailleWatch(x)
@1290 :- Deafened(x), BraillePillOrganiser(x)
@860 :- HearingDisability(x), TelephoneAid(x)
@2139 :- LightweightFoldable_Wheelchair(x), Talking_Thermometer(x)
@861 :- Deaf(x), ListenDevice(x)
@2138 :- LightweightFoldable_Wheelchair(x), SymbolBoard(x)
@862 :- Deaf(x), SpeechDevice(x)
@2137 :- LightweightFoldable_Wheelchair(x), FaceToFaceCommunicationSoftware(x)
@863 :- HearingDisability(x), TalkingReading(x)
@1289 :- Deafened(x), BrailleAlarmClock(x)
@2136 :- LightweightFoldable_Wheelchair(x), BrailleWritingDevice(x)
@864 :- HearingDisability(x), TactileReading(x)
@1288 :- Deafened(x), Talking_Thermometer(x)
@2135 :- Foldable_Wheelchair(x), BrailleWatch(x)
@865 :- Deaf(x), ReadingDevice(x)
@1287 :- Hard_of_hearing(x), Foldable_Wheelchair(x)
@2134 :- Lightweight_Wheelchair(x), BrailleWatch(x)
@866 :- HearingDisability(x), BrailleWritingDevice(x)
@867 :- Deaf(x), WritingDevice(x)
@868 :- Deaf(x), FaceToFaceCommunicationDevice(x)
@869 :- HearingDisability(x), FaceToFaceCommunicationSoftware(x)
@2155 :- Muscular_dystrophy(x), HearingDisability(x)
@2154 :- Kyphosis(x), HearingDisability(x)
@2153 :- PhysicalDisability(x), Deafened(x)
@2152 :- Guillaume_Barre(x), HearingDisability(x)
@2151 :- Paraplegia(x), HearingDisability(x)
@2150 :- PhysicalDisability(x), Hard_of_hearing(x)
@870 :- HearingDisability(x), SymbolBoard(x)
@871 :- Deaf(x), Wheelchair(x)
@872 :- HearingDisability(x), Motorised_Wheelchair(x)
@2149 :- Amputation(x), HearingDisability(x)
@873 :- HearingDisability(x), Manual_Wheelchair(x)
@2148 :- Poliomyelitis(x), HearingDisability(x)
@874 :- Blind(x), ListenDevice(x)
@2147 :- Achondroplasia(x), HearingDisability(x)
@875 :- Blind(x), SpeechDevice(x)
@1299 :- Deaf(x), BatteryPowered_Wheelchair(x)
@2146 :- Osteogensis_Imperfecta(x), HearingDisability(x)
@876 :- Blind(x), ReadingDevice(x)
@1298 :- Deaf(x), BrailleWatch(x)
@2145 :- Spina_Bifida(x), HearingDisability(x)
@877 :- Blind(x), WritingDevice(x)
@878 :- Blind(x), FaceToFaceCommunicationDevice(x)
@879 :- Blind(x), Wheelchair(x)
@2166 :- Spina_Bifida(x), Deafened(x)
@2165 :- Spina_Bifida(x), Hard_of_hearing(x)
@2164 :- Scoliosis(x), Deaf(x)
@2163 :- Scoliosis(x), Deafened(x)
@2162 :- Scoliosis(x), Hard_of_hearing(x)
@2161 :- Dystonia(x), HearingDisability(x)
@2160 :- Hemiplegia(x), HearingDisability(x)
@880 :- LowVision(x), ListenDevice(x)
@881 :- LowVision(x), SpeechDevice(x)
@882 :- LowVision(x), ReadingDevice(x)
@883 :- LowVision(x), WritingDevice(x)
@400 :- SpeechDevice(x), See(x)
@884 :- LowVision(x), FaceToFaceCommunicationDevice(x)
@2159 :- Multiple_sclerosis(x), HearingDisability(x)
@401 :- SpeechDevice(x), See_partially(x)
@885 :- LowVision(x), Wheelchair(x)
@2158 :- Cerebral_palsy(x), HearingDisability(x)
@402 :- SpeechDevice(x), Reach(x)
@886 :- VisualDisability(x), TelephoneAid(x)
@2157 :- PhysicalDisability(x), Deaf(x)
@403 :- SpeechDevice(x), LimbMobility(x)
@887 :- VisualDisability(x), TalkingReading(x)
@2156 :- Quadriplegia(x), HearingDisability(x)
@404 :- Talking_Thermometer(x), SensoryAbility(x)
@888 :- VisualDisability(x), TactileReading(x)
@405 :- Talking_Thermometer(x), PhysicalAbility(x)
@889 :- VisualDisability(x), BrailleWritingDevice(x)
@406 :- TalkingReading(x), HearingAbility(x)
@407 :- TalkingReading(x), SightAbility(x)
@408 :- TalkingReading(x), TactileAbility(x)
@409 :- TalkingReading(x), MovementAbility(x)
@2177 :- Amputation(x), Hard_of_hearing(x)
@2176 :- Poliomyelitis(x), Deaf(x)
@2175 :- Poliomyelitis(x), Deafened(x)
@2174 :- Poliomyelitis(x), Hard_of_hearing(x)
@2173 :- Achondroplasia(x), Deaf(x)
@2172 :- Achondroplasia(x), Deafened(x)
@2171 :- Achondroplasia(x), Hard_of_hearing(x)
@890 :- VisualDisability(x), FaceToFaceCommunicationSoftware(x)
@2170 :- Osteogensis_Imperfecta(x), Deaf(x)
@891 :- VisualDisability(x), SymbolBoard(x)
@892 :- VisualDisability(x), Motorised_Wheelchair(x)
@893 :- VisualDisability(x), Manual_Wheelchair(x)
@410 :- BrailleAlarmClock(x), SensoryAbility(x)
@894 :- IntellectualDisability(x), ListenDevice(x)
@411 :- BrailleAlarmClock(x), PhysicalAbility(x)
@895 :- IntellectualDisability(x), SpeechDevice(x)
@412 :- BraillePillOrganiser(x), SensoryAbility(x)
@896 :- IntellectualDisability(x), ReadingDevice(x)
@2169 :- Osteogensis_Imperfecta(x), Deafened(x)
@413 :- BraillePillOrganiser(x), PhysicalAbility(x)
@897 :- IntellectualDisability(x), WritingDevice(x)
@2168 :- Osteogensis_Imperfecta(x), Hard_of_hearing(x)
@414 :- TactileReading(x), HearingAbility(x)
@898 :- IntellectualDisability(x), FaceToFaceCommunicationDevice(x)
@2167 :- Spina_Bifida(x), Deaf(x)
@415 :- TactileReading(x), SightAbility(x)
@899 :- IntellectualDisability(x), Wheelchair(x)
@416 :- BrailleWatch(x), SensoryAbility(x)
@417 :- TactileReading(x), TactileAbility(x)
@418 :- TactileReading(x), MovementAbility(x)
@419 :- BrailleWatch(x), PhysicalAbility(x)
@2180 :- Paraplegia(x), Hard_of_hearing(x)
@2188 :- Dystonia(x), Hard_of_hearing(x)
@2187 :- Hemiplegia(x), Hard_of_hearing(x)
@2186 :- Multiple_sclerosis(x), Hard_of_hearing(x)
@2185 :- Cerebral_palsy(x), Hard_of_hearing(x)
@2184 :- Quadriplegia(x), Hard_of_hearing(x)
@2183 :- Muscular_dystrophy(x), Hard_of_hearing(x)
@2182 :- Kyphosis(x), Hard_of_hearing(x)
@2181 :- Guillaume_Barre(x), Hard_of_hearing(x)
@420 :- ReadingDevice(x), Hear(x)
@421 :- ReadingDevice(x), Hear_partially(x)
@422 :- ReadingDevice(x), See(x)
@423 :- ReadingDevice(x), See_partially(x)
@424 :- ReadingDevice(x), Reach(x)
@2179 :- Amputation(x), Deaf(x)
@425 :- ReadingDevice(x), LimbMobility(x)
@2178 :- Amputation(x), Deafened(x)
@426 :- BrailleWritingDevice(x), HearingAbility(x)
@427 :- BrailleWritingDevice(x), SightAbility(x)
@428 :- BrailleWritingDevice(x), TactileAbility(x)
@429 :- BrailleWritingDevice(x), MovementAbility(x)
@2191 :- Guillaume_Barre(x), Deafened(x)
@2190 :- Paraplegia(x), Deaf(x)
@2199 :- Dystonia(x), Deafened(x)
@2198 :- Hemiplegia(x), Deafened(x)
@2197 :- Multiple_sclerosis(x), Deafened(x)
@2196 :- Cerebral_palsy(x), Deafened(x)
@2195 :- Quadriplegia(x), Deafened(x)
@2194 :- Muscular_dystrophy(x), Deafened(x)
@2193 :- Kyphosis(x), Deafened(x)
@2192 :- Guillaume_Barre(x), Deaf(x)
@430 :- WritingDevice(x), Hear(x)
@431 :- WritingDevice(x), Hear_partially(x)
@432 :- WritingDevice(x), See(x)
@433 :- WritingDevice(x), See_partially(x)
@434 :- WritingDevice(x), Reach(x)
@435 :- WritingDevice(x), LimbMobility(x)
@436 :- FaceToFaceCommunicationDevice(x), Hear(x)
@2189 :- Paraplegia(x), Deafened(x)
@437 :- FaceToFaceCommunicationDevice(x), Hear_partially(x)
@438 :- FaceToFaceCommunicationSoftware(x), HearingAbility(x)
@439 :- SymbolBoard(x), HearingAbility(x)
@440 :- FaceToFaceCommunicationDevice(x), See(x)
@441 :- FaceToFaceCommunicationDevice(x), See_partially(x)
@442 :- FaceToFaceCommunicationSoftware(x), SightAbility(x)
@443 :- SymbolBoard(x), SightAbility(x)
@444 :- FaceToFaceCommunicationSoftware(x), TactileAbility(x)
@445 :- SymbolBoard(x), TactileAbility(x)
@446 :- FaceToFaceCommunicationDevice(x), Reach(x)
@447 :- Communication_Device(x), LowerLimbMobility(x)
@448 :- Communication_Device(x), UpperLimbMobility(x)
@449 :- FaceToFaceCommunicationDevice(x), LimbMobility(x)
@450 :- FaceToFaceCommunicationSoftware(x), MovementAbility(x)
@451 :- SymbolBoard(x), MovementAbility(x)
@452 :- Wheelchair(x), Hear(x)
@453 :- Wheelchair(x), Hear_partially(x)
@454 :- Motorised_Wheelchair(x), HearingAbility(x)
@455 :- Manual_Wheelchair(x), HearingAbility(x)
@456 :- Wheelchair(x), See(x)
@457 :- Wheelchair(x), See_partially(x)
@458 :- Motorised_Wheelchair(x), SightAbility(x)
@459 :- Manual_Wheelchair(x), SightAbility(x)
@460 :- BatteryPowered_Wheelchair(x), SensoryAbility(x)
@461 :- Motorised_Wheelchair(x), TactileAbility(x)
@462 :- Lightweight_Wheelchair(x), SensoryAbility(x)
@463 :- Foldable_Wheelchair(x), SensoryAbility(x)
@464 :- Manual_Wheelchair(x), TactileAbility(x)
@465 :- Wheelchair(x), Reach(x)
@466 :- MobilityDevice(x), LowerLimbMobility(x)
@467 :- MobilityDevice(x), UpperLimbMobility(x)
@468 :- Wheelchair(x), LimbMobility(x)
@469 :- Motorised_Wheelchair(x), MovementAbility(x)
@470 :- Manual_Wheelchair(x), MovementAbility(x)
@471 :- BatteryPowered_Wheelchair(x), PhysicalAbility(x)
@472 :- Lightweight_Wheelchair(x), PhysicalAbility(x)
@473 :- Foldable_Wheelchair(x), PhysicalAbility(x)
@474 :- LightweightFoldable_Wheelchair(x), Ability(x)
@475 :- LightweightFoldable_Wheelchair(x), SpeechAbility(x)
@476 :- TelephoneAid(x), Hear(x)
@477 :- TelephoneAid(x), Hear_partially(x)
@478 :- TelephoneAid(x), See(x)
@479 :- TelephoneAid(x), See_partially(x)
@480 :- TelephoneAid(x), Reach(x)
@481 :- TelephoneAid(x), LimbMobility(x)
@482 :- ListenDevice(x), LowerLimbMobility(x)
@483 :- ListenDevice(x), UpperLimbMobility(x)
@484 :- SpeechDevice(x), LowerLimbMobility(x)
@485 :- SpeechDevice(x), UpperLimbMobility(x)
@486 :- Talking_Thermometer(x), HearingAbility(x)
@487 :- Talking_Thermometer(x), SightAbility(x)
@488 :- Talking_Thermometer(x), TactileAbility(x)
@489 :- Talking_Thermometer(x), MovementAbility(x)
@490 :- TalkingReading(x), Hear(x)
@491 :- TalkingReading(x), Hear_partially(x)
@492 :- TalkingReading(x), See(x)
@493 :- TalkingReading(x), See_partially(x)
@494 :- TalkingReading(x), Reach(x)
@495 :- TalkingReading(x), LimbMobility(x)
@496 :- BrailleAlarmClock(x), HearingAbility(x)
@497 :- BrailleAlarmClock(x), SightAbility(x)
@498 :- BrailleAlarmClock(x), TactileAbility(x)
@499 :- BrailleAlarmClock(x), MovementAbility(x)
@1701 :- VisualDisability(x), See(x)
@1700 :- VisualDisability(x), Hear_partially(x)
@1709 :- Epilepsy(x), HearingAbility(x)
@1708 :- IntellectualDisability(x), MovementAbility(x)
@1707 :- IntellectualDisability(x), TactileAbility(x)
@1706 :- IntellectualDisability(x), SightAbility(x)
@1705 :- IntellectualDisability(x), HearingAbility(x)
